,J avg,J best,Par 1,Par 2 ,Par 3
GA 40,7.64842455812787,4.80704998386385,0.478124883770832,0.0106567264144196,2.0197863767494
GA 400,5.4623896955627,4.74913733488581,0.481101494885917,0.0109079590873328,2.02147199771118
SA,7.58154457514752,6.13686366876309,0.488253836088191,0.0189523996697701,2.01361917597072
CSA,4.63995154991595,4.63995154977365,0.483924848808133,0.0112093156744636,2.02473089959601
WOA,5.14742963212637,4.73266263880405,0.484997268353348,0.0114389330008822,2.02287735189339
